sample_id,marker_id,gate_value
68,Rabbit IgG,3478.531304347826
68,Goat IgG,0.0
68,Mouse IgG,0.0
68,CD73,0.0
68,CD107B,0.0
68,MART1,0.0
68,KI67,0.0
68,pan-CK,0.0
68,CD45,0.0
68,ECAD,0.0
68,aSMA,0.0
68,CD56,0.0
68,CD13,0.0
68,CD63,0.0
68,CD32,0.0
68,CDKN1A,0.0
68,CCNA2,0.0
68,CDKN1C,0.0
68,PCNA_1,0.0
68,pAUR,0.0
68,CDKN1B_1,0.0
68,CCND1,0.0
68,cPARP,0.0
68,CDKN1B_2,0.0
68,pCREB,0.0
68,CCNB1,0.0
68,CCNE,0.0
68,PCNA_2,3487.7142857142853
68,CDK2,0.0
68,CDKN2A,0.0
1,Rabbit IgG,0.0
1,Goat IgG,0.0
1,Mouse IgG,0.0
1,CD73,0.0
1,CD107B,0.0
1,MART1,0.0
1,KI67,0.0
1,pan-CK,0.0
1,CD45,0.0
1,ECAD,0.0
1,aSMA,0.0
1,CD56,0.0
1,CD13,0.0
1,CD63,0.0
1,CD32,0.0
1,CDKN1A,0.0
1,CCNA2,0.0
1,CDKN1C,0.0
1,PCNA_1,0.0
1,pAUR,0.0
1,CDKN1B_1,0.0
1,CCND1,0.0
1,cPARP,0.0
1,CDKN1B_2,0.0
1,pCREB,0.0
1,CCNB1,0.0
1,CCNE,0.0
1,PCNA_2,0.0
1,CDK2,0.0
1,CDKN2A,0.0
18,Rabbit IgG,2666.8921052631576
18,Goat IgG,0.0
18,Mouse IgG,0.0
18,CD73,0.0
18,CD107B,0.0
18,MART1,0.0
18,KI67,0.0
18,pan-CK,0.0
18,CD45,0.0
18,ECAD,0.0
18,aSMA,0.0
18,CD56,0.0
18,CD13,578.2247191011238
18,CD63,0.0
18,CD32,0.0
18,CDKN1A,0.0
18,CCNA2,0.0
18,CDKN1C,0.0
18,PCNA_1,0.0
18,pAUR,0.0
18,CDKN1B_1,0.0
18,CCND1,0.0
18,cPARP,0.0
18,CDKN1B_2,0.0
18,pCREB,0.0
18,CCNB1,0.0
18,CCNE,0.0
18,PCNA_2,0.0
18,CDK2,0.0
18,CDKN2A,0.0
15,Rabbit IgG,0.0
15,Goat IgG,3723.361515151514
15,Mouse IgG,3703.99125
15,CD73,1577.505063291139
15,CD107B,0.0
15,MART1,0.0
15,KI67,0.0
15,pan-CK,0.0
15,CD45,0.0
15,ECAD,0.0
15,aSMA,0.0
15,CD56,0.0
15,CD13,0.0
15,CD63,0.0
15,CD32,0.0
15,CDKN1A,821.3441860465116
15,CCNA2,0.0
15,CDKN1C,0.0
15,PCNA_1,0.0
15,pAUR,0.0
15,CDKN1B_1,0.0
15,CCND1,0.0
15,cPARP,0.0
15,CDKN1B_2,0.0
15,pCREB,0.0
15,CCNB1,0.0
15,CCNE,0.0
15,PCNA_2,0.0
15,CDK2,0.0
15,CDKN2A,0.0
